,post_text,followers,friends,favourites,statuses,retweets,label,Day_of_week,Exact_data,year,month,day,time
0,It's just over 2 years since I was diagnosed with #anxiety and #depression. Today I'm taking a moment to reflect on how far I've come since.,84,211,251,837,0,1,Sun,2015-08-30,2015,8,30,07:48:37
1,"It's Sunday, I need a break, so I'm planning to spend as little time as possible on the #A14...",84,211,251,837,1,1,Sun,2015-08-30,2015,8,30,07:31:33
2,Awake but tired. I need to sleep but my brain has other ideas...,84,211,251,837,0,1,Sat,2015-08-29,2015,8,29,22:11:07
3,RT @SewHQ: #Retro bears make perfect gifts and are great for beginners too! Get stitching with October's Sew on sale NOW! #yay http://t.co/…,84,211,251,837,2,1,Sat,2015-08-29,2015,8,29,18:40:49
4,It’s hard to say whether packing lists are making life easier or just reinforcing how much still needs doing... #movinghouse #anxiety,84,211,251,837,1,1,Sat,2015-08-29,2015,8,29,18:40:26
5,Making packing lists is my new hobby... #movinghouse,84,211,251,837,1,1,Sat,2015-08-29,2015,8,29,18:26:24
6,At what point does keeping stuff for nostalgic reasons cross the line into plain old hoarding...? #movinghouse,84,211,251,837,1,1,Sat,2015-08-29,2015,8,29,18:21:51
7,Currently in the finding-boxes-of-random-shit packing phase. I think I’m a closet hoarder...,84,211,251,837,0,1,Sat,2015-08-29,2015,8,29,18:12:59
8,"Can't be bothered to cook, take away on the way 😁👍🏼 #lazy",84,211,251,837,0,1,Sat,2015-08-29,2015,8,29,18:04:05
9,RT @itventsnews: ITV releases promo video for the final series of Downton Abbey http://t.co/mC8Ive72zR http://t.co/CFBKrRvJIs,84,211,251,837,41,1,Sat,2015-08-29,2015,8,29,17:54:54
10,"... also, I have too much stuff. Way, way too much #movinghouse",84,211,251,837,1,1,Sat,2015-08-29,2015,8,29,17:54:08
11,I never want to put one of these together again #lotharderthanitlooks http://t.co/70ujlTCKlB,84,211,251,837,0,1,Sat,2015-08-29,2015,8,29,17:52:44
12,Moving stuff is bloomin’ knackering... and there’s still loads to do... 😥,84,211,251,837,0,1,Sat,2015-08-29,2015,8,29,09:19:29
13,"Back at the house, moving stuff. It’s so peaceful here... I ❤️ 🏡 😊",84,211,251,837,0,1,Sat,2015-08-29,2015,8,29,09:02:08
14,Urgh. Anxiety. FFS where does it come from?! (Breathe...),84,211,251,837,0,1,Fri,2015-08-28,2015,8,28,17:22:02
15,"I have too much stuff. Way, way too much... Massive purge on the way.",84,211,251,837,0,1,Fri,2015-08-28,2015,8,28,17:07:45
16,Hideous traffic on the A14. Must remember to pay closer attention to the traffic reports...,84,211,251,837,0,1,Fri,2015-08-28,2015,8,28,11:23:44
17,Packing and purging. Feels good 😊👍🏼,84,211,251,837,0,1,Fri,2015-08-28,2015,8,28,10:20:38
18,In B&amp;Q looking at internal doors. Fun times 😉,84,211,251,837,0,1,Fri,2015-08-28,2015,8,28,08:36:30
19,"Time to get up. So many things to do, such a busy day ahead...",84,211,251,837,0,1,Fri,2015-08-28,2015,8,28,06:10:11
20,It's 6:20... do I get up or lie here a little longer with my cat buddy... ❓,84,211,251,837,0,1,Fri,2015-08-28,2015,8,28,05:23:24
21,There's nothing like cocktails and exhaustion to aid a good night's  sleep...,84,211,251,837,0,1,Fri,2015-08-28,2015,8,28,05:20:16
22,Great night out with my favourite ladies. Much needed after the past few days. I love them so much 💕,84,211,251,837,0,1,Thu,2015-08-27,2015,8,27,20:20:44
23,Sat down on the sofa for a quick rest... an hour ago. Need to move.,84,211,251,837,0,1,Wed,2015-08-26,2015,8,26,18:19:43
24,How much do I want pizza right now...?,84,211,251,837,0,1,Wed,2015-08-26,2015,8,26,15:35:21
25,"I will always love you.

Peter Gabriel - In Your Eyes http://t.co/foAexmvoid",84,211,251,837,0,1,Wed,2015-08-26,2015,8,26,07:42:51
26,Such a busy day ahead. I need to focus but I'm feeling on the edge of derailment right now.,84,211,251,837,0,1,Wed,2015-08-26,2015,8,26,07:36:08
27,Even now the smallest thing still makes my heart break. I doesn't feel like that ever goes away.,84,211,251,837,0,1,Wed,2015-08-26,2015,8,26,07:28:04
28,"Why is choosing a curtain pole suddenly so confusing? Too. Many. Choices. And yes, I know this isn't a 'real' problem.",84,211,251,837,0,1,Wed,2015-08-26,2015,8,26,06:46:15
29,Completed on my house. Got the keys. What a fab day! Whoop! 🏡🎉💕,84,211,251,837,0,1,Tue,2015-08-25,2015,8,25,18:25:06
30,"RT @CPHighWycombe: @CatsProtection Hi - could you retweet our long stayers, Sammy and Suki? Photographed them today...buckscats.org.uk http…",84,211,251,837,70,1,Tue,2015-08-25,2015,8,25,08:18:30
31,Big day today 🏡😁🎉,84,211,251,837,0,1,Tue,2015-08-25,2015,8,25,05:39:04
32,How lovely #PandaStory  https://t.co/GgaVEkymp7,84,211,251,837,0,1,Mon,2015-08-24,2015,8,24,21:29:56
33,RT @SewHQ: The weather outside is frightful...but our makes are so delightful! Here's a sneak peak of October issue's projects! http://t.co…,84,211,251,837,4,1,Mon,2015-08-24,2015,8,24,18:35:17
34,That's good news at least https://t.co/1S0L7ZAqjr,84,211,251,837,0,1,Mon,2015-08-24,2015,8,24,18:21:05
35,Had a headache so took a nap. For three hours! Woke up a bit confused as to time and day... 😴,84,211,251,837,0,1,Mon,2015-08-24,2015,8,24,18:20:37
36,RT @deliciousmag: On a budget? We have 21 recipes for £1.50 or less a head and they don't compromise on flavour. http://t.co/0CGzPXJLrP htt…,84,211,251,837,16,1,Mon,2015-08-24,2015,8,24,15:02:17
37,RT @RSPCA_official: RT @ncolondon: @RSPCA_official Please RT for us.... 80yr old dog owner getting very distraught over his lost dog 😓 http…,84,211,251,837,238,1,Mon,2015-08-24,2015,8,24,14:55:00
38,"RT @BBCCambs: Flying displays by vintage jets ""significantly restricted"" until further notice by CAA - limited to fly pasts.",84,211,251,837,1,1,Mon,2015-08-24,2015,8,24,14:40:28
